"longitude","latitude"
20,74.1391
20,74.3597
20,74.5804
20,74.8013
20,75.0222
20,75.2433
20,75.4645
20,75.6858
20,75.9072
20,76.1287
20,76.3503
20,76.572
20,76.7938
20,77.0157
20,77.2377
20,77.4598
20,77.682
20,77.9043
20,78.1267
20,78.3491
20,78.5717
20,78.7943
20,79.0171
20,79.2399
20,79.4628
20,79.6857
20,80.5784
20,80.8018
20,81.0252
20,81.2487
20,81.4722
20,81.6958
20,81.9195
200,81.9195
200,81.6958
200,81.4722
200,81.2487
200,81.0252
200,80.8018
200,80.5784
200,80.3551
200,80.1319
200,79.9088
200,79.6857
200,79.4628
200,79.2399
200,79.0171
200,78.7943
200,78.5717
200,78.3491
200,78.1267
200,77.9043
200,77.682
200,77.4598
200,77.2377
200,77.0157
200,76.7938
200,76.572
200,76.3503
200,76.1287
200,75.9072
200,75.6858
200,75.4645
200,75.2433
200,75.0222
200,74.8013
200,74.5804
200,74.3597
200,74.1391
200,73.9186
200,73.6982
200,73.478
200,73.2579
200,73.0379
200,72.818
200,72.5982
200,72.3786
200,72.1591
200,71.9398
200,71.7206
200,71.5015
200,71.2825
200,71.0637
200,70.845
200,70.6265
200,70.4081
20.6296,69.7526
20.6366,69.9705
20.7848,73.6967
20.7957,73.9171
20.8069,74.1376
20.8184,74.3581
20.8303,74.5788
20.8425,74.7997
20.8551,75.0206
20.868,75.2416
20.8814,75.4628
20.8952,75.684
20.9094,75.9054
20.924,76.1269
20.9392,76.3484
20.9548,76.5701
20.971,76.7919
20.9878,77.0138
21.0051,77.2357
21.023,77.4578
21.0416,77.68
21.0609,77.9022
21.0809,78.1246
21.1017,78.347
21.1233,78.5695
21.1458,78.7921
21.1691,79.0148
21.1935,79.2376
21.2189,79.4604
21.2454,79.6833
21.273,79.9063
21.3019,80.1294
21.3322,80.3525
21.3639,80.5758
21.3972,80.799
21.4321,81.0224
21.4688,81.2458
21.5074,81.4693
21.5481,81.6928
21.5911,81.9164
21.6366,82.1401
21.6847,82.3638
21.7357,82.5875
21.7899,82.8114
21.8476,83.0352
21.9091,83.2591
21.9749,83.4831
22.0454,83.7071
22.1211,83.9311
22.2026,84.1552
22.2906,84.3793
22.3859,84.6034
22.4895,84.8275
197.5105,84.8275
197.614,84.6034
197.7094,84.3793
197.7974,84.1552
197.8789,83.9311
197.9546,83.7071
198.0251,83.4831
198.0909,83.2591
198.1524,83.0352
198.2101,82.8114
