"lon","lat","density"
20,78.5717,21.728971
20,78.7943,21.728971
20,79.4628,21.904749
20,79.6857,21.904749
200,70.4081,20.508299
20.6296,69.7526,21.855923
20.6366,69.9705,21.855923
20.7848,73.6967,21.904749
20.7957,73.9171,21.904749
20.8069,74.1376,21.904749
20.8184,74.3581,21.904749
20.8303,74.5788,21.904749
20.8425,74.7997,21.904749
20.8551,75.0206,21.904749
20.868,75.2416,21.904749
20.8814,75.4628,21.904749
20.8952,75.684,21.904749
20.9094,75.9054,21.904749
20.924,76.1269,21.904749
20.9392,76.3484,21.904749
20.9548,76.5701,21.904749
20.971,76.7919,21.904749
20.9878,77.0138,21.904749
21.0051,77.2357,21.904749
21.023,77.4578,21.904749
21.0416,77.68,21.25047
21.0609,77.9022,21.904749
21.0809,78.1246,21.904749
21.1017,78.347,21.728971
21.1233,78.5695,21.728971
21.1458,78.7921,21.719208
21.1691,79.0148,21.855923
21.1935,79.2376,21.904749
21.2189,79.4604,21.904749
21.2454,79.6833,21.709442
21.273,79.9063,21.709442
21.3019,80.1294,21.855923
21.3322,80.3525,21.855923
21.3639,80.5758,21.855923
21.3972,80.799,21.855923
21.4321,81.0224,21.855923
21.4688,81.2458,18.486866
21.5074,81.4693,18.486866
21.5481,81.6928,21.855923
21.5911,81.9164,18.486866
21.6366,82.1401,5.127825
21.6847,82.3638,3.3895872
21.7357,82.5875,3.3895872
21.7899,82.8114,3.3895872
21.8476,83.0352,3.3895872
21.9091,83.2591,3.3895872
21.9749,83.4831,3.3895872
22.0454,83.7071,3.3895872
22.1211,83.9311,3.3895872
22.2026,84.1552,3.3895872
22.2906,84.3793,3.3895872
22.3859,84.6034,3.3895872
22.4895,84.8275,3.3895872
22.6026,85.0517,3.3895872
22.7263,85.2759,3.3895872
22.8624,85.5001,3.3895872
23.0128,85.7243,3.3895872
23.1798,85.9485,3.3895872
23.3665,86.1727,3.3895872
23.5763,86.3969,3.3895872
23.8141,86.621,3.3895872
24.0856,86.8451,3.3895872
24.3987,87.0692,3.3895872
24.7636,87.2932,3.3895872
25.1944,87.5171,3.3895872
25.7106,87.7408,3.3895872
26.3402,87.9643,3.3895872
27.125,88.1875,3.3895872
28.1301,88.4103,3.3895872
29.4623,88.6325,3.3895872
31.3099,88.8536,3.3895872
34.0362,89.073,3.3895872
38.4349,89.289,3.3895872
46.565,89.4973,3.3895872
65,89.682,3.3895872
110,89.7752,3.3895872
155,89.682,3.3895872
173.435,89.4973,5.89929
181.565,89.289,5.89929
185.9638,89.073,5.89929
188.6901,88.8536,5.89929
190.5377,88.6325,5.89929
191.8699,88.4103,3.3895872
192.875,88.1875,3.3895872
193.6598,87.9643,3.3895872
194.2894,87.7408,3.3895872
194.8056,87.5171,3.3895872
195.2363,87.2932,3.3895872
195.6013,87.0692,3.3895872
195.9144,86.8451,3.3895872
196.1859,86.621,3.3895872
196.4237,86.3969,3.3895872
196.6335,86.1727,3.3895872
196.8202,85.9485,3.3895872
196.9872,85.7243,3.3895872
197.1376,85.5001,3.3895872
197.2737,85.2759,3.3895872
197.3974,85.0517,3.3895872
197.5105,84.8275,3.3895872
197.614,84.6034,3.3895872
197.7094,84.3793,3.3895872
197.7974,84.1552,3.3895872
197.8789,83.9311,3.3895872
197.9546,83.7071,3.3895872
198.0251,83.4831,3.3895872
198.0909,83.2591,3.3895872
198.1524,83.0352,3.3895872
198.2101,82.8114,3.3895872
198.2643,82.5875,3.3895872
198.3153,82.3638,3.3895872
198.3634,82.1401,4.5028405
198.4089,81.9164,6.993013
198.4518,81.6928,6.993013
198.4926,81.4693,6.993013
198.5312,81.2458,6.993013
198.5679,81.0224,6.993013
198.6028,80.799,6.993013
198.6361,80.5758,9.268347
198.6678,80.3525,9.268347
198.6981,80.1294,9.268347
198.727,79.9063,9.268347
198.7546,79.6833,9.268347
198.7811,79.4604,9.268347
198.8065,79.2376,14.453764
198.8309,79.0148,14.453764
198.8542,78.7921,14.453764
198.8767,78.5695,14.453764
198.8983,78.347,14.453764
198.9191,78.1246,14.453764
198.9391,77.9022,14.453764
198.9584,77.68,14.453764
198.977,77.4578,14.453764
198.9949,77.2357,14.453764
199.0122,77.0138,14.453764
199.029,76.7919,14.453764
199.0452,76.5701,14.453764
199.0608,76.3484,14.453764
199.076,76.1269,14.453764
199.0906,75.9054,14.453764
199.1048,75.684,14.453764
199.1186,75.4628,14.453764
199.1319,75.2416,14.453764
199.1449,75.0206,14.453764
199.1575,74.7997,14.453764
199.1697,74.5788,14.453764
199.1815,74.3581,14.453764
199.1931,74.1376,10.694092
199.2043,73.9171,10.694092
199.2152,73.6967,10.694092
199.2258,73.4765,8.438289
199.2361,73.2564,8.438289
199.2462,73.0364,8.438289
199.256,72.8166,8.438289
199.2655,72.5968,8.438289
199.2748,72.3772,8.438289
199.2838,72.1578,8.438289
199.2927,71.9384,8.438289
199.3013,71.7192,8.438289
199.3097,71.5001,7.666824
199.3179,71.2812,7.207851
199.326,71.0624,14.590479
199.3338,70.8437,15.24476
199.3415,70.6252,20.508299
199.3489,70.4068,16.367779
